component,value,count
geometry,0.014,104
geometry,0.015,136
geometry,0.016,117
geometry,0.017,120
geometry,0.018,148
geometry,0.019,133
geometry,0.02,132
geometry,0.021,156
geometry,0.022,144
geometry,0.023,142
geometry,0.024,158
geometry,0.025,127
geometry,0.026,168
geometry,0.027,168
geometry,0.028,156
geometry,0.029,177
geometry,0.03,180
geometry,0.031,161
geometry,0.032,178
geometry,0.033,167
geometry,0.034,188
geometry,0.035,181
geometry,0.036,188
geometry,0.037,196
geometry,0.038,184
geometry,0.039,183
geometry,0.04,197
geometry,0.041,222
geometry,0.042,209
geometry,0.043,197
geometry,0.044,246
geometry,0.045,225
geometry,0.046,212
geometry,0.047,213
geometry,0.048,212
geometry,0.049,209
geometry,0.05,212
geometry,0.051,242
geometry,0.052,231
geometry,0.053,207
geometry,0.054,242
geometry,0.055,242
geometry,0.056,224
geometry,0.057,253
geometry,0.058,270
geometry,0.059,245
geometry,0.06,240
geometry,0.061,249
geometry,0.062,227
geometry,0.063,278
geometry,0.064,252
geometry,0.065,263
geometry,0.066,210
geometry,0.067,267
geometry,0.068,264
geometry,0.069,277
geometry,0.07,284
geometry,0.071,248
geometry,0.072,250
geometry,0.073,265
geometry,0.074,247
geometry,0.075,270
geometry,0.076,225
geometry,0.077,285
geometry,0.078,247
geometry,0.079,255
geometry,0.08,257
geometry,0.081,262
geometry,0.082,273
geometry,0.083,255
geometry,0.084,250
geometry,0.085,250
geometry,0.086,279
geometry,0.087,242
geometry,0.088,260
geometry,0.089,260
geometry,0.09,259
geometry,0.091,285
geometry,0.092,286
geometry,0.093,287
geometry,0.094,254
geometry,0.095,266
geometry,0.096,244
geometry,0.097,258
geometry,0.098,251
geometry,0.099,249
geometry,0.1,281
geometry,0.101,256
geometry,0.102,308
geometry,0.103,247
geometry,0.104,259
geometry,0.105,249
geometry,0.106,271
geometry,0.107,277
geometry,0.108,267
geometry,0.109,254
geometry,0.11,240
geometry,0.111,273
geometry,0.112,273
geometry,0.113,256
geometry,0.114,271
geometry,0.115,285
geometry,0.116,269
geometry,0.117,260
geometry,0.118,286
geometry,0.119,260
geometry,0.12,257
geometry,0.121,265
geometry,0.122,293
geometry,0.123,299
geometry,0.124,278
geometry,0.125,277
geometry,0.126,266
geometry,0.127,257
geometry,0.128,263
geometry,0.129,253
geometry,0.13,260
geometry,0.131,273
geometry,0.132,257
geometry,0.133,254
geometry,0.134,259
geometry,0.135,292
geometry,0.136,290
geometry,0.137,297
geometry,0.138,276
geometry,0.139,276
geometry,0.14,243
geometry,0.141,270
geometry,0.142,270
geometry,0.143,284
geometry,0.144,279
geometry,0.145,262
geometry,0.146,267
geometry,0.147,284
geometry,0.148,280
geometry,0.149,254
geometry,0.15,246
geometry,0.151,254
geometry,0.152,269
geometry,0.153,246
geometry,0.154,271
geometry,0.155,233
geometry,0.156,246
geometry,0.157,256
geometry,0.158,255
geometry,0.159,253
geometry,0.16,285
geometry,0.161,282
geometry,0.162,255
geometry,0.163,266
geometry,0.164,247
geometry,0.165,282
geometry,0.166,251
geometry,0.167,269
geometry,0.168,260
geometry,0.169,263
geometry,0.17,301
geometry,0.171,279
geometry,0.172,302
geometry,0.173,258
geometry,0.174,258
geometry,0.175,273
geometry,0.176,256
geometry,0.177,292
geometry,0.178,272
geometry,0.179,240
geometry,0.18,267
geometry,0.181,282
geometry,0.182,242
geometry,0.183,257
geometry,0.184,268
geometry,0.185,263
geometry,0.186,273
geometry,0.187,281
geometry,0.188,262
geometry,0.189,259
geometry,0.19,266
geometry,0.191,260
geometry,0.192,271
geometry,0.193,264
geometry,0.194,254
geometry,0.195,278
geometry,0.196,252
geometry,0.197,240
geometry,0.198,280
geometry,0.199,283
geometry,0.2,255
geometry,0.201,261
geometry,0.202,263
geometry,0.203,301
geometry,0.204,281
geometry,0.205,294
geometry,0.206,271
geometry,0.207,280
geometry,0.208,285
geometry,0.209,268
geometry,0.21,263
geometry,0.211,235
geometry,0.212,246
geometry,0.213,252
geometry,0.214,272
geometry,0.215,268
geometry,0.216,254
geometry,0.217,271
geometry,0.218,281
geometry,0.219,253
geometry,0.22,285
geometry,0.221,287
geometry,0.222,282
geometry,0.223,268
geometry,0.224,252
geometry,0.225,293
geometry,0.226,264
geometry,0.227,249
geometry,0.228,267
geometry,0.229,273
geometry,0.23,249
geometry,0.231,259
geometry,0.232,269
geometry,0.233,293
geometry,0.234,265
geometry,0.235,277
geometry,0.236,251
geometry,0.237,263
geometry,0.238,308
geometry,0.239,254
geometry,0.24,253
geometry,0.241,250
geometry,0.242,308
geometry,0.243,242
geometry,0.244,267
geometry,0.245,253
geometry,0.246,265
geometry,0.247,255
geometry,0.248,270
geometry,0.249,256
geometry,0.25,265
geometry,0.251,266
geometry,0.252,270
geometry,0.253,264
geometry,0.254,275
geometry,0.255,261
geometry,0.256,256
geometry,0.257,307
geometry,0.258,262
geometry,0.259,262
geometry,0.26,298
geometry,0.261,274
geometry,0.262,250
geometry,0.263,250
geometry,0.264,256
geometry,0.265,270
geometry,0.266,258
geometry,0.267,275
geometry,0.268,272
geometry,0.269,286
geometry,0.27,257
geometry,0.271,245
geometry,0.272,252
geometry,0.273,287
geometry,0.274,247
geometry,0.275,241
geometry,0.276,291
geometry,0.277,240
geometry,0.278,243
geometry,0.279,273
geometry,0.28,279
geometry,0.281,271
geometry,0.282,278
geometry,0.283,253
geometry,0.284,263
geometry,0.285,259
geometry,0.286,280
geometry,0.287,272
geometry,0.288,272
